"","datetime","date","ra1","ra2","raw","ra","comment","chk_note","chk_fail","year"
"1","1/1/72 8:55",1972-01-01,0,0,-999,0,"","adjusted","Prorated",1972
"2","2/1/72 8:55",1972-01-02,2.54,0,2.54,2.54,"","good","",1972
"3","3/1/72 8:55",1972-01-03,3.556,0,3.556,3.556,"","good","",1972
"4","4/1/72 8:55",1972-01-04,7.874,0,7.874,7.874,"","good","",1972
"5","5/1/72 8:55",1972-01-05,24.892,0,24.892,24.892,"","good","",1972
"6","6/1/72 8:55",1972-01-06,16.51,0,16.51,16.51,"","good","",1972
"7","7/1/72 8:55",1972-01-07,0,0,-999,12.273,"","adjusted","Prorated",1972
"8","8/1/72 8:55",1972-01-08,0,0,-999,31.911,"","adjusted","Prorated",1972
"9","9/1/72 8:55",1972-01-09,73.66,0,73.66,29.476,"","adjusted","Prorated",1972
"10","10/1/72 8:55",1972-01-10,0,0,0,0,"","good","",1972
"11","11/1/72 8:55",1972-01-11,0,0,0,0,"","good","",1972
"12","12/1/72 8:55",1972-01-12,0,0,0,0,"","good","",1972
"13","13/01/1972 08:55:00",1972-01-13,4.572,0,4.572,4.572,"","good","",1972
"14","14/01/1972 08:55:00",1972-01-14,0,0,-999,1.27,"","adjusted","Prorated",1972
"15","15/01/1972 08:55:00",1972-01-15,0,0,-999,1.27,"","adjusted","Prorated",1972
"16","16/01/1972 08:55:00",1972-01-16,2.54,0,2.54,0,"","adjusted","Prorated",1972
"17","17/01/1972 08:55:00",1972-01-17,9.144,0,9.144,9.144,"","good","",1972
"18","18/01/1972 08:55:00",1972-01-18,14.732,0,14.732,14.732,"","good","",1972
"19","19/01/1972 08:55:00",1972-01-19,0,0,0,0,"","good","",1972
"20","20/01/1972 08:55:00",1972-01-20,0,0,0,0,"","good","",1972
"21","21/01/1972 08:55:00",1972-01-21,0,0,0,0,"","good","",1972
"22","22/01/1972 08:55:00",1972-01-22,0.254,0,0.254,0.254,"","good","",1972
"23","23/01/1972 08:55:00",1972-01-23,0,0,0,0,"","good","",1972
"24","24/01/1972 08:55:00",1972-01-24,0,0,0,0,"","good","",1972
"25","25/01/1972 08:55:00",1972-01-25,0,0,0,0,"","good","",1972
"26","26/01/1972 08:55:00",1972-01-26,0,0,0,0,"","good","",1972
"27","27/01/1972 08:55:00",1972-01-27,0,0,0,0,"","good","",1972
"28","28/01/1972 08:55:00",1972-01-28,0,0,0,0,"","good","",1972
"29","29/01/1972 08:55:00",1972-01-29,0,0,0,0,"","good","",1972
"30","30/01/1972 08:55:00",1972-01-30,0,0,0,0,"","good","",1972
"31","31/01/1972 08:55:00",1972-01-31,3.048,0,3.048,3.048,"","good","",1972
"32","1/2/72 8:55",1972-02-01,0,0,0,0,"","good","",1972
"33","2/2/72 8:55",1972-02-02,2.54,0,2.54,2.54,"","good","",1972
"34","3/2/72 8:55",1972-02-03,0,0,0,0,"","good","",1972
"35","4/2/72 8:55",1972-02-04,0,0,-999,0,"","adjusted","Prorated",1972
"36","5/2/72 8:55",1972-02-05,0,0,-999,0,"","adjusted","Prorated",1972
"37","6/2/72 8:55",1972-02-06,0,0,-999,0,"","adjusted","Prorated",1972
